Price,Location,Bedrooms,Area,Property Type,Avg Temperature,Humidity
169000,"Downtown Views II Tower 1, Downtown Views II, Downtown Dubai, Dubai",2.0,1168.0,Apartment,33.0,57.0
75000,"Gateway Residences, Mina Al Arab, Ras Al Khaimah",1.0,923.0,Apartment,32.4,37.4
60000,"Gateway Residences, Mina Al Arab, Ras Al Khaimah",1.0,923.0,Apartment,32.4,37.4
180000,"Address Fountain Views Hotel, The Address Residence Fountain Views, Downtown Dubai, Dubai",1.0,842.0,Apartment,33.0,57.0
129900,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",1.0,725.0,Apartment,32.9,57.1
310000,"The Address Residence Fountain Views 2, The Address Residence Fountain Views, Downtown Dubai, Dubai",2.0,1453.0,Apartment,33.0,57.0
140000,"Act Towers, Opera District, Downtown Dubai, Dubai",1.0,651.0,Apartment,33.0,57.0
115000,"Damac Maison The Distinction, Downtown Dubai, Dubai",1.0,891.0,Apartment,33.0,57.0
140000,"The Address Dubai Mall, Downtown Dubai, Dubai",,647.0,Apartment,33.0,57.0
120000,"Dunya Tower, Burj Khalifa Area, Downtown Dubai, Dubai",1.0,816.0,Apartment,32.9,57.1
330000,"Grande, Opera District, Downtown Dubai, Dubai",2.0,1201.0,Apartment,33.0,57.0
80000,"Pacific Tonga, Pacific, Al Marjan Island, Ras Al Khaimah",2.0,1444.0,Apartment,17.6,86.2
410000,"Burj Royale, Downtown Dubai, Dubai",3.0,1318.0,Apartment,33.0,57.0
550000,"The Address Residences Dubai Opera Tower 1, The Address Residences Dubai Opera, Downtown Dubai, Dubai",3.0,1624.0,Apartment,33.0,57.0
45000,"Pacific Bora Bora, Pacific, Al Marjan Island, Ras Al Khaimah",,445.0,Apartment,19.4,75.5
410000,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",3.0,1571.0,Apartment,33.0,57.0
329999,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",2.0,1439.0,Apartment,33.0,57.0
155000,"Tajer Residences, The Old Town Island, Downtown Dubai, Dubai",1.0,1555.0,Apartment,33.0,57.0
129000,"Burj Views podium, Burj Views, Downtown Dubai, Dubai",1.0,906.0,Apartment,32.8,52.5
36000,"Pacific Samoa, Pacific, Al Marjan Island, Ras Al Khaimah",,445.0,Apartment,17.6,86.2
39999,"Pacific Tonga, Pacific, Al Marjan Island, Ras Al Khaimah",,445.0,Apartment,17.6,86.2
155000,"Marbella, Mina Al Arab, Ras Al Khaimah",3.0,3134.0,Villa,32.4,37.4
95000,"The Signature, Burj Khalifa Area, Downtown Dubai, Dubai",1.0,830.0,Apartment,32.9,57.1
249998,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",2.0,1227.0,Apartment,33.0,57.0
350000,"Grande, Opera District, Downtown Dubai, Dubai",2.0,1201.0,Apartment,33.0,57.0
300000,"Forte 1, Forte, Downtown Dubai, Dubai",3.0,1646.0,Apartment,33.0,57.0
300000,"Kempinski BLVD, Downtown Dubai, Dubai",2.0,1449.0,Apartment,33.0,57.0
35000,"Pacific Samoa, Pacific, Al Marjan Island, Ras Al Khaimah",,450.0,Apartment,17.6,86.2
150000,"Burj Al Nujoom, Downtown Dubai, Dubai",2.0,1391.0,Apartment,33.0,57.0
135000,"29 Burj Boulevard Tower 1, 29 Burj Boulevard, Downtown Dubai, Dubai",1.0,770.0,Apartment,33.0,57.0
130000,"The Address BLVD Sky Collection, Downtown Dubai, Dubai",,562.0,Apartment,33.0,57.0
230000,"The Address Residences Dubai Opera Tower 1, The Address Residences Dubai Opera, Downtown Dubai, Dubai",1.0,802.0,Apartment,33.0,57.0
150000,"Act Towers, Opera District, Downtown Dubai, Dubai",1.0,720.0,Apartment,33.0,57.0
145000,"Marbella, Mina Al Arab, Ras Al Khaimah",3.0,3128.0,Villa,32.4,37.4
79999,"Royal Breeze 4, Royal Breeze, Al Hamra Village, Ras Al Khaimah",2.0,1260.0,Apartment,31.7,60.9
120000,"Burj Views A, Burj Views, Downtown Dubai, Dubai",1.0,966.0,Apartment,30.1,62.4
100000,"Marina Apartments E, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah",3.0,2346.0,Apartment,31.1,33.4
125000,"Upper Crest, Downtown Dubai, Dubai",1.0,860.0,Apartment,30.4,67.2
100000,"Damac Maison The Distinction, Downtown Dubai, Dubai",1.0,774.0,Apartment,33.0,57.0
45000,"Kahraman, Bab Al Bahar, Al Marjan Island, Ras Al Khaimah",1.0,889.0,Apartment,31.8,60.9
410000,"Act Towers, Opera District, Downtown Dubai, Dubai",3.0,2662.0,Apartment,33.0,57.0
500000,"The Address Residences Dubai Opera Tower 2, The Address Residences Dubai Opera, Downtown Dubai, Dubai",3.0,1780.0,Apartment,33.0,57.0
36000,"Al Hamra Palace Beach Resort, Al Hamra Village, Ras Al Khaimah",,437.0,Apartment,31.1,33.4
180000,"Marbella, Mina Al Arab, Ras Al Khaimah",3.0,3200.0,Villa,32.4,37.4
260000,"Burj Lake Hotel - The Address DownTown, Downtown Dubai, Dubai",1.0,880.0,Apartment,33.0,57.0
105000,"Claren Tower 1, Claren Towers, Downtown Dubai, Dubai",1.0,861.0,Apartment,33.0,57.0
230000,"Burj Royale, Downtown Dubai, Dubai",2.0,1045.0,Apartment,33.0,57.0
31900,"Marina Apartments G, Al Hamra Marina Residences, Al Hamra Village, Ras Al Khaimah",,550.0,Apartment,31.1,33.4
32000,"Lagoon B4, The Lagoons, Mina Al Arab, Ras Al Khaimah",1.0,650.0,Apartment,32.4,37.4
110000,"Pacific Polynesia, Pacific, Al Marjan Island, Ras Al Khaimah",2.0,1440.0,Apartment,19.4,75.5
62000,"Pacific Tonga, Pacific, Al Marjan Island, Ras Al Khaimah",2.0,995.0,Apartment,17.6,86.2
85000,"Gateway Residences, Mina Al Arab, Ras Al Khaimah",2.0,1250.0,Apartment,32.4,37.4
110000,"The Townhouses at Al Hamra Village, Al Hamra Village, Ras Al Khaimah",4.0,2700.0,Townhouse,16.9,72.9
